item_id,category,host,ip,protocol,port,finding,reason,recommendation,evidence_class,related_flow
MR-0001,NSE cross-reference,legacy01.example.local,192.168.10.40,,,NSE script 'smb-os-discovery' output references 192.168.10.10,Script output alone is not credible proof of a production traffic flow,"If this relationship is real, declare it in defined_flows or expected_outbound so it becomes a User-Defined flow",Manual Review Required,
MR-0002,Policy: always review,legacy01.example.local,192.168.10.40,tcp,23,Telnet on tcp/23 matches policy.always_manual_review,Organization policy requires human review of this port/service,Review with the firewall owner before implementation,Manual Review Required,
MR-0003,Rule withheld,dc01.example.local,192.168.10.10,tcp,53,Candidate inbound rule for DNS withheld,Service not listed in the host's approved_services,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0002
MR-0004,Rule withheld,web01.example.local,192.168.10.20,tcp,22,Candidate inbound rule for SSH withheld,Service not listed in the host's approved_services,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0007
MR-0005,Rule withheld,legacy01.example.local,192.168.10.40,tcp,23,Candidate inbound rule for Telnet withheld,Matched policy.always_manual_review,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0011
MR-0006,Rule withheld,192.168.20.15,192.168.20.15,tcp,443,Candidate outbound rule for SSL to 203.0.113.50 withheld,External dependency; candidate rules disabled by zeek.include_external_dependencies_in_rules,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0017
MR-0007,Rule withheld,203.0.113.50,203.0.113.50,tcp,443,Candidate inbound rule for SSL withheld,External dependency; candidate rules disabled by zeek.include_external_dependencies_in_rules,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0014
MR-0008,Unapproved service,dc01.example.local,192.168.10.10,tcp,53,DNS on tcp/53 is not in the host's approved_services list,An approval list exists for this host and this service is absent,Confirm with the system owner before creating a firewall exception,Manual Review Required,
MR-0009,Unapproved service,web01.example.local,192.168.10.20,tcp,22,SSH on tcp/22 is not in the host's approved_services list,An approval list exists for this host and this service is absent,Confirm with the system owner before creating a firewall exception,Manual Review Required,
MR-0010,Uncertain port state,dc01.example.local,192.168.10.10,udp,123,udp/123 reported open|filtered,Nmap could not distinguish an open port from a filtered one (common for UDP); treating it as reachable would be unsafe,"Verify with a targeted scan (e.g. version probe, --reason), packet capture, or on-host inspection before allowing traffic",Manual Review Required,
MR-0011,Uncertain port state,db01.example.local,192.168.10.30,udp,161,udp/161 reported open|filtered,Nmap could not distinguish an open port from a filtered one (common for UDP); treating it as reachable would be unsafe,"Verify with a targeted scan (e.g. version probe, --reason), packet capture, or on-host inspection before allowing traffic",Manual Review Required,
MR-0012,Zeek sensor health,core-zeek01,,,,"Capture loss reached 2.50%, above the configured 1.0% threshold",Passive observations may be incomplete; absence of a flow is weaker evidence than usual,Investigate sensor capacity/placement and re-collect if practical,Manual Review Required,
