hostname,ip,zone,role,protocol,port,state,reason,detected_service,product,version,extrainfo,tunnel,normalized_service,expected_service,mismatch,mismatch_note,cpes,scripts,risk_level,risk_reasons,encryption,authentication,evidence_class,approved,zeek_observation,correlation_status,any_zeek_traffic_observed,non_scanner_zeek_traffic_observed,scanner_only_zeek_traffic_observed
dc01.example.local,192.168.10.10,Servers,Domain controller,tcp,53,open,syn-ack,domain,Simple DNS Plus,,,,DNS,DNS,no,,,,Low,No elevated-risk indicators matched; baseline exposure,Cleartext,Unknown,Observed,no,,,no,no,no
dc01.example.local,192.168.10.10,Servers,Domain controller,tcp,88,open,syn-ack,kerberos-sec,Microsoft Windows Kerberos,,,,Kerberos,Kerberos,no,,,,Low,No elevated-risk indicators matched; baseline exposure,Unknown,Unknown,Observed,yes,,,no,no,no
dc01.example.local,192.168.10.10,Servers,Domain controller,tcp,389,open,syn-ack,ldap,Microsoft Windows Active Directory LDAP,,,,LDAP,LDAP,no,,,,Medium,Cleartext LDAP (credentials/queries unencrypted),Cleartext,Protocol requires authentication (not verified),Observed,yes,,,no,no,no
dc01.example.local,192.168.10.10,Servers,Domain controller,tcp,445,open,syn-ack,microsoft-ds,,,,,SMB,SMB,no,"Service name from Nmap port table, not active probing",,smb-protocols,High,SMB exposed; restrict to trusted zones; SMBv1 dialect enabled per NSE output,Unknown,Protocol requires authentication (not verified),Observed,yes,,,no,no,no
dc01.example.local,192.168.10.10,Servers,Domain controller,udp,53,open,udp-response,domain,,,,,DNS,DNS,no,"Service name from Nmap port table, not active probing",,,Low,No elevated-risk indicators matched; baseline exposure,Cleartext,Unknown,Observed,yes,,,no,no,no
dc01.example.local,192.168.10.10,Servers,Domain controller,udp,123,open|filtered,no-response,ntp,,,,,NTP,NTP,no,"Service name from Nmap port table, not active probing",,,Informational,Port state uncertain (open|filtered); no risk rating assigned,Cleartext,Unknown,Manual Review Required,no,,,no,no,no
web01.example.local,192.168.10.20,Servers,Web server,tcp,22,open,syn-ack,ssh,OpenSSH,9.6p1,,,SSH,SSH,no,,cpe:/a:openbsd:openssh:9.6p1,,Low,SSH remote administration; restrict source to management network,Encrypted (protocol default; not independently verified),Protocol requires authentication (not verified),Observed,no,,,no,no,no
web01.example.local,192.168.10.20,Servers,Web server,tcp,80,closed,reset,http,,,,,HTTP,HTTP,no,"Service name from Nmap port table, not active probing",,,Informational,,Cleartext,Unknown,Unknown,no,,,no,no,no
web01.example.local,192.168.10.20,Servers,Web server,tcp,443,open,syn-ack,http,nginx,1.24.0,,ssl,HTTPS,HTTPS,no,,cpe:/a:nginx:nginx:1.24.0,,Low,Risk level set to Low by policy.risk_overrides,Encrypted (TLS tunnel reported),Unknown,Observed,yes,,,no,no,no
web01.example.local,192.168.10.20,Servers,Web server,tcp,8443,filtered,no-response,https-alt,,,,,Alternate HTTPS,Alternate HTTPS,no,"Service name from Nmap port table, not active probing",,,Informational,,Encrypted (protocol default; not independently verified),Unknown,Unknown,no,,,no,no,no
db01.example.local,192.168.10.30,Servers,Database server,tcp,5432,open,syn-ack,postgresql,PostgreSQL DB,16.3,,,PostgreSQL,PostgreSQL,no,,,,High,Database service exposed outside an approved application/management scope,Unknown,Protocol requires authentication (not verified),Observed,not specified,,,no,no,no
db01.example.local,192.168.10.30,Servers,Database server,udp,161,open|filtered,no-response,snmp,,,,,SNMP,SNMP,no,"Service name from Nmap port table, not active probing",,,Informational,Port state uncertain (open|filtered); no risk rating assigned,Cleartext,Unknown,Manual Review Required,not specified,,,no,no,no
legacy01.example.local,192.168.10.40,Servers,Unknown,tcp,23,open,syn-ack,telnet,,,,,Telnet,Telnet,no,"Service name from Nmap port table, not active probing",,,High,Telnet: cleartext remote administration; Possible end-of-life software: Microsoft OS past end of support (verify manually; version detection is not proof),Cleartext,Unknown,Observed,not specified,,,no,no,no
legacy01.example.local,192.168.10.40,Servers,Unknown,tcp,445,open,syn-ack,microsoft-ds,Microsoft Windows 7 - 10 microsoft-ds,,,,SMB,SMB,no,,,smb-vuln-ms17-010,Critical,SMB exposed; restrict to trusted zones; SMBv1 dialect enabled per NSE output; Possible end-of-life software: Microsoft OS past end of support (verify manually; version detection is not proof); NSE script 'smb-vuln-ms17-010' reports VULNERABLE state,Unknown,Protocol requires authentication (not verified),Observed,not specified,,,no,no,no
legacy01.example.local,192.168.10.40,Servers,Unknown,tcp,9100,open,syn-ack,jetdirect,,,,,Raw Print,Raw Print,no,"Service name from Nmap port table, not active probing",,,High,Printer service exposed; restrict to print servers/users; Possible end-of-life software: Microsoft OS past end of support (verify manually; version detection is not proof),Cleartext,Unknown,Observed,not specified,,,no,no,no
