item_id,category,host,ip,protocol,port,finding,reason,recommendation,evidence_class,related_flow
MR-0001,Approved-network policy,db01.example.local,192.168.10.30,tcp,5432,Inbound TCP/5432 (PostgreSQL) from 192.168.1.50 to 192.168.10.30: the rule is outside the approved networks,Rule scope is outside the approved networks of the matched policy,"Update approved_source_networks / approved_destination_networks or adjust the rule scope, then re-run",Manual Review Required,F-0008
MR-0002,NSE cross-reference,legacy01.example.local,192.168.10.40,,,NSE script 'smb-os-discovery' output references 192.168.10.10,Script output alone is not credible proof of a production traffic flow,"If this relationship is real, declare it in defined_flows or expected_outbound so it becomes a User-Defined flow",Manual Review Required,
MR-0003,Policy: always review,legacy01.example.local,192.168.10.40,tcp,23,Telnet on tcp/23 matches policy.always_manual_review,Organization policy requires human review of this port/service,Review with the firewall owner before implementation,Manual Review Required,
MR-0004,Rule withheld,dc01.example.local,192.168.10.10,tcp,53,Candidate inbound rule for DNS withheld,Service not listed in the host's approved_services,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0001
MR-0005,Rule withheld,web01.example.local,192.168.10.20,tcp,22,Candidate inbound rule for SSH withheld,Service not listed in the host's approved_services,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0006
MR-0006,Rule withheld,legacy01.example.local,192.168.10.40,tcp,23,Candidate inbound rule for Telnet withheld,Matched policy.always_manual_review,"Resolve the noted concern, then re-run the analysis",Manual Review Required,F-0010
MR-0007,Unapproved service,dc01.example.local,192.168.10.10,tcp,53,DNS on tcp/53 is not in the host's approved_services list,An approval list exists for this host and this service is absent,Confirm with the system owner before creating a firewall exception,Manual Review Required,
MR-0008,Unapproved service,web01.example.local,192.168.10.20,tcp,22,SSH on tcp/22 is not in the host's approved_services list,An approval list exists for this host and this service is absent,Confirm with the system owner before creating a firewall exception,Manual Review Required,
MR-0009,Uncertain port state,dc01.example.local,192.168.10.10,udp,123,udp/123 reported open|filtered,Nmap could not distinguish an open port from a filtered one (common for UDP); treating it as reachable would be unsafe,"Verify with a targeted scan (e.g. version probe, --reason), packet capture, or on-host inspection before allowing traffic",Manual Review Required,
MR-0010,Uncertain port state,db01.example.local,192.168.10.30,udp,161,udp/161 reported open|filtered,Nmap could not distinguish an open port from a filtered one (common for UDP); treating it as reachable would be unsafe,"Verify with a targeted scan (e.g. version probe, --reason), packet capture, or on-host inspection before allowing traffic",Manual Review Required,
