rule_id,direction,target_hostname,target_ip,target_zone,source,source_hostname,source_zone,destination,destination_hostname,destination_zone,protocol,port,service,purpose,evidence_class,evidence,confidence,encryption,authentication,risk_level,recommended_action,description,scope_warning,manual_review_notes,flow_id,service_evidence,source_scope_evidence,destination_scope_evidence,purpose_evidence,role_evidence,flow_evidence,perspective,enforcement_model,source_scope_status,destination_scope_status,matched_source_policy,matched_destination_policy,policy_violation,policy_notes,evidence_sources,nmap_observation,zeek_observation,correlation_status,first_seen,last_seen,connection_count,successful_connections,failed_connections,one_way_connections,partial_connections,originator_bytes,responder_bytes,originator_packets,responder_packets,zeek_conn_states,zeek_services,sample_zeek_uids,dns_names,tls_server_names,http_hosts,sensor_quality,confidence_notes
IN-0001,inbound,192.168.1.10,192.168.1.10,Management,192.168.20.15,192.168.20.15,Workstations,192.168.1.10,192.168.1.10,Management,udp,53,DNS,,Observed,Zeek sensor observed 2 successful connections (2 total) from 192.168.20.15 to 192.168.1.10 udp/53 between 2026-07-20T08:00:20+00:00 and 2026-07-20T08:00:25+00:00. Observed traffic does not independently establish business authorization. Confidence reduced to 70: Zeek sensor health is degraded; capture loss 2.50% exceeds the 1.0% threshold.,70,Unknown,Unknown,Informational,Confirm business authorization with the system owner; observed traffic alone is not approval,Allow UDP 53 (DNS) from 192.168.20.15 to 192.168.1.10 (192.168.1.10),,,F-0001,Observed,Observed,Observed,,,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,zeek,not scanned (Nmap),successful traffic observed,zeek-traffic-only,2026-07-20T08:00:20+00:00,2026-07-20T08:00:25+00:00,2,2,0,0,0,122,390,2,2,SF,dns,Cwsdns1; Cwsdns2,updates.example.com; db01.example.local,,,degraded,
IN-0002,inbound,dc01.example.local,192.168.10.10,Servers,192.168.1.50,sec-scan01,Management,192.168.10.10,dc01.example.local,Servers,tcp,88,Kerberos,Primary AD DS,Observed,Nmap observed tcp/88 open on 192.168.10.10 (state reason: syn-ack). This confirms reachability from the scanner's location only.,90,Unknown,Unknown,Low,"Validate business need, then approve",Allow TCP 88 (Kerberos) from 192.168.1.50 to 192.168.10.10 (dc01.example.local),,,F-0003,Observed,Observed,Observed,User-Defined,User-Defined,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0003,inbound,dc01.example.local,192.168.10.10,Servers,192.168.20.0/24,,Workstations,192.168.10.10,dc01.example.local,Servers,tcp,389,LDAP,Primary AD DS,User-Defined,Nmap observed tcp/389 open on 192.168.10.10 (state reason: syn-ack). This confirms reachability from the scanner's location only.; Source scope authorized by configuration (192.168.20.0/24),80,Cleartext,Protocol requires authentication (not verified),Medium,"Validate business need, then approve",Allow TCP 389 (LDAP) from 192.168.20.0/24 to 192.168.10.10 (dc01.example.local),,,F-0004,Observed,User-Defined,Observed,User-Defined,User-Defined,Observed + User-Defined,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0004,inbound,dc01.example.local,192.168.10.10,Servers,192.168.1.50,sec-scan01,Management,192.168.10.10,dc01.example.local,Servers,tcp,445,SMB,Primary AD DS,Observed,Nmap observed tcp/445 open on 192.168.10.10 (state reason: syn-ack). This confirms reachability from the scanner's location only.,90,Unknown,Protocol requires authentication (not verified),High,"Validate business need, then approve",Allow TCP 445 (SMB) from 192.168.1.50 to 192.168.10.10 (dc01.example.local),,,F-0005,Observed,Observed,Observed,User-Defined,User-Defined,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0005,inbound,dc01.example.local,192.168.10.10,Servers,192.168.1.50,sec-scan01,Management,192.168.10.10,dc01.example.local,Servers,udp,53,DNS,Primary AD DS,Observed,Nmap observed udp/53 open on 192.168.10.10 (state reason: udp-response). This confirms reachability from the scanner's location only.,90,Cleartext,Unknown,Low,"Validate business need, then approve",Allow UDP 53 (DNS) from 192.168.1.50 to 192.168.10.10 (dc01.example.local),,,F-0006,Observed,Observed,Observed,User-Defined,User-Defined,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0006,inbound,web01.example.local,192.168.10.20,Servers,192.168.1.50,sec-scan01,Management,192.168.10.20,web01.example.local,Servers,tcp,443,HTTPS,Intranet portal,Observed,Nmap observed tcp/443 open on 192.168.10.20 (state reason: syn-ack). This confirms reachability from the scanner's location only.,70,Encrypted (TLS tunnel reported),Unknown,Low,"Validate business need, then approve",Allow TCP 443 (HTTPS) from 192.168.1.50 to 192.168.10.20 (web01.example.local),,,F-0008,Observed,Observed,Observed,User-Defined,User-Defined,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap; zeek,,scanner-generated traffic observed by sensor,nmap-and-zeek,2026-07-20T08:01:30+00:00,2026-07-20T08:01:30+00:00,1,1,0,0,0,300,900,6,5,SF,ssl,Cscan01,,,,degraded,
IN-0007,inbound,db01.example.local,192.168.10.30,Servers,192.168.1.50,sec-scan01,Management,192.168.10.30,db01.example.local,Servers,tcp,5432,PostgreSQL,Portal database,Observed,Nmap observed tcp/5432 open on 192.168.10.30 (state reason: syn-ack). This confirms reachability from the scanner's location only.,90,Unknown,Protocol requires authentication (not verified),High,"Validate business need, then approve",Allow TCP 5432 (PostgreSQL) from 192.168.1.50 to 192.168.10.30 (db01.example.local),Outside approved networks; see policy_notes,,F-0009,Observed,Observed,Observed,User-Defined,User-Defined,Observed,destination-inbound,endpoint_and_network,Outside Approved Scope,No Policy Defined,hosts.192.168.10.30.approved_source_networks,,yes,Rule scope is outside the approved networks of the matched policy,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0008,inbound,db01.example.local,192.168.10.30,Servers,192.168.10.20,web01.example.local,Servers,192.168.10.30,db01.example.local,Servers,tcp,5432,PostgreSQL,Web application database access,Observed,Declared in configuration (defined_flows); not verified by the scan; Zeek observed this declared dependency in actual traffic,60,Unknown,Unknown,Informational,Confirm the declared dependency is still current,Allow TCP 5432 (PostgreSQL) from 192.168.10.20 to 192.168.10.30 (db01.example.local),,,F-0010,Observed,User-Defined,User-Defined,User-Defined,User-Defined,Observed + User-Defined,destination-inbound,endpoint_and_network,Approved,No Policy Defined,hosts.192.168.10.30.approved_source_networks (192.168.10.20/32),,no,,nmap; zeek; user_configuration,service open (Nmap),successful traffic observed,user-defined-and-zeek,2026-07-20T08:00:10+00:00,2026-07-20T08:02:10+00:00,3,3,0,0,0,1500,2400,24,21,SF,postgresql,Cweb1db1; Cweb2db1; Cweb3db1,,,,degraded,
IN-0009,inbound,legacy01.example.local,192.168.10.40,Servers,192.168.1.50,sec-scan01,Management,192.168.10.40,legacy01.example.local,Servers,tcp,445,SMB,,Observed,Nmap observed tcp/445 open on 192.168.10.40 (state reason: syn-ack). This confirms reachability from the scanner's location only.,90,Unknown,Protocol requires authentication (not verified),Critical,"Validate business need, then approve",Allow TCP 445 (SMB) from 192.168.1.50 to 192.168.10.40 (legacy01.example.local),,,F-0012,Observed,Observed,Observed,,Unknown,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
IN-0010,inbound,legacy01.example.local,192.168.10.40,Servers,192.168.1.50,sec-scan01,Management,192.168.10.40,legacy01.example.local,Servers,tcp,9100,Raw Print,,Observed,Nmap observed tcp/9100 open on 192.168.10.40 (state reason: syn-ack). This confirms reachability from the scanner's location only.,90,Cleartext,Unknown,High,"Validate business need, then approve",Allow TCP 9100 (Raw Print) from 192.168.1.50 to 192.168.10.40 (legacy01.example.local),,,F-0013,Observed,Observed,Observed,,Unknown,Observed,destination-inbound,endpoint_and_network,No Policy Defined,No Policy Defined,,,no,No approved-network policy applies to this rule,nmap,,Not observed during the Zeek collection window,nmap-reachability-only,,,0,0,0,0,0,0,0,0,0,,,,,,,,
