finding_id,category,source,destination,protocol,port,detail,evidence,recommendation,correlation_status
CF-0001,Exposed service with scanner-only traffic,,192.168.10.20,tcp,443,"Nmap found HTTPS open on 192.168.10.20 tcp/443. The only traffic the sensor saw to it was generated by the Nmap scanner itself, which is not production usage.",,"Treat this as no production evidence: do NOT call it unused, and do NOT treat the scan traffic as a dependency. Confirm with the system owner or a longer collection window",nmap-reachability-only
CF-0002,Exposed service without observed traffic,,192.168.10.10,tcp,389,"Nmap found LDAP open on 192.168.10.10 tcp/389, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0003,Exposed service without observed traffic,,192.168.10.10,tcp,445,"Nmap found SMB open on 192.168.10.10 tcp/445, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0004,Exposed service without observed traffic,,192.168.10.10,tcp,53,"Nmap found DNS open on 192.168.10.10 tcp/53, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0005,Exposed service without observed traffic,,192.168.10.10,tcp,88,"Nmap found Kerberos open on 192.168.10.10 tcp/88, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0006,Exposed service without observed traffic,,192.168.10.10,udp,53,"Nmap found DNS open on 192.168.10.10 udp/53, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0007,Exposed service without observed traffic,,192.168.10.20,tcp,22,"Nmap found SSH open on 192.168.10.20 tcp/22, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0008,Exposed service without observed traffic,,192.168.10.40,tcp,23,"Nmap found Telnet open on 192.168.10.40 tcp/23, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0009,Exposed service without observed traffic,,192.168.10.40,tcp,445,"Nmap found SMB open on 192.168.10.40 tcp/445, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0010,Exposed service without observed traffic,,192.168.10.40,tcp,9100,"Nmap found Raw Print open on 192.168.10.40 tcp/9100, but no traffic to it was observed during the Zeek collection window",,Do NOT treat this as unused; the window may simply not cover its clients. Verify with a longer window or owner confirmation,nmap-reachability-only
CF-0011,External dependency,192.168.20.15,203.0.113.50,tcp,443,192.168.20.15 communicates with external endpoint 203.0.113.50 tcp/443 (updates.example.com),"Zeek: 1 successful / 1 total connection, states SF",Confirm the external dependency is expected and approved,zeek-traffic-only
CF-0012,Protocol anomalies,,,,,"weird.log recorded 3 protocol anomalies across 2 types. Most frequent: dns_unmatched_reply x2, inappropriate_FIN x1",weird.log,"Protocol anomalies often indicate asymmetric routing, truncation, or sensor placement issues rather than compromise; interpret alongside sensor health",zeek-traffic-only
CF-0013,Sensor degradation,,,,,Zeek sensor health is degraded (Capture loss 2.50% exceeds the configured threshold (1.0%); 1 flow aggregate contains missed bytes (content gaps)),,Treat Zeek-derived confidence as reduced; observed flows are preserved,
CF-0014,Unscanned dependency,192.168.20.15,192.168.1.10,udp,53,"Zeek observed traffic to 192.168.1.10 udp/53, which was not covered by the Nmap scan","Zeek: 2 successful / 2 total connections, states SF",Include the destination in a future scan scope to corroborate,zeek-traffic-only
CF-0015,Zeek notice,192.168.20.15,203.0.113.50,tcp,443,Zeek notice SSL::Certificate_Expires_Soon: Certificate for updates.example.com expires within 60 days,notice.log,"Review the notice in context; a notice is an alert for human assessment, not a confirmed vulnerability",zeek-traffic-only
